CSV Import Log - 2026-02-07T12:10:29.120278
✓ 📝 Added: https://www.cell.com/joule/abstract/S2542-4351(23)00316-1... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2410.07458... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/abs/10.1002/ente.2024010... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10701482... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9684486... (incomplete)
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2024/ee/d4ee0... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10700039... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10517580... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10705289... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10701540... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10709883... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10716418... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41563-024-02032-6... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/advs.202406934... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2410.06422... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/6653c53... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/2.F08243IF... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad76da... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.linkedin.com/posts/kyriakosgeorgiadis_thermal-ru... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://spj.science.org/doi/10.34133/energymatadv.0008... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s44172-024-00273-6... (incomplete)
✓ 📝 Added: https://www.linkedin.com/posts/franziska-berger-767861206_st... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41560-024-01620-9... (incomplete)
✓ 📝 Added: https://digital-library.theiet.org/doi/10.1049/iet-sen.2009.... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/6582687... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10577472... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/9468399... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S209549562... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.cell.com/joule/abstract/S2542-4351(24)00353-2... (incomplete)
✓ 📝 Added: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4930405... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S295026402... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S13640... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S25901... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24519... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad63ce... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/8951808... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41598-021-85575-x... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2076-3417/14/16/7430... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2032-6653/15/8/377... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2404.14767... (incomplete)
✓ 📝 Added: https://www.sandia.gov/app/uploads/sites/82/2024/08/PR2024_7... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/5/264... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41598-024-68226-9... (incomplete)
✓ 📝 Added: https://linkinghub.elsevier.com/retrieve/pii/S01968904240079... (incomplete)
✓ 📝 Added: https://www.researchgate.net/publication/317643366_Model_Bas... (incomplete)
✓ 📝 Added: https://batterydata.energy.gov/dataset... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://www.linkedin.com/posts/jhrrlee_prediction-of-lithium... (incomplete)
✓ 📝 Added: https://www.linkedin.com/posts/lawrence-blakeley-0b6b06a6_cu... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://arc.aiaa.org/doi/10.2514/6.2024-3700... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/14/21/6942... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9617644... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acsenergylett.4c01276... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.cell.com/joule/abstract/S2542-4351(24)00241-1... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/6/332... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/101... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/9/110... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/84... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/7/351... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/1/52... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/1/64... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/129... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/7/385... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/10/147... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/10/170... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/76... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/114... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/9/119... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/10/142... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/12/287... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/10/169... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/2/8... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/2/19... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/5/41... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/8/77... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/1/63... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/4/29... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/11/204... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/11/229... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/94... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/120... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/131... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/3/177... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/3/180... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/5/280... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/6/301... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/6/335... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/7/358... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/8/392... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/14/3372... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266624852... (incomplete)
✓ 📝 Added: https://www.epri.com/research/products/000000003002030360... (incomplete)
✓ 📝 Added: https://www.cell.com/iscience/fulltext/S2589-0042(24)01120-9... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c01304... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/aenm.202400772... (incomplete)
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2024/ee/d3ee0... (incomplete)
✓ 📝 Added: https://www.linkedin.com/posts/dr-vasan-prabhu-veeramani-4a5... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s11581-024-05556-8... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/5/152... (incomplete)
❌ Failed: https://www.sciencedirect.com/science/article/abs/pii/S23521... - [Errno 22] Invalid argument: 'data\\metadata.json'
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1186/s10033-024-01024-6... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10507800... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad4397/... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10500447... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/5/159... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S145239812... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10494763... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2076-3417/14/8/3153... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10495181... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2079-9292/13/8/1423... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10494526... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10506507... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10505320... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.cell.com/the-innovation/fulltext/S2666-6758(24)0... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acsenergylett.3c01591... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10644790... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10559377... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41467-022-33486-4... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/5/237... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2404.10022... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad3b76... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad36e3... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://sciencedirect.com/science/article/abs/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10471201... (incomplete)
✓ 📝 Added: https://joss.theoj.org/papers/10.21105/joss.04051... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/6576e76... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/15/13/4520... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S095758202... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1088/2515-7655/ad3675... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10457049... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://ojs.istp-press.com/dmd/article/view/500... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00457... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00134... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2403.10617... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2310.15396... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266638642... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41467-023-38458-w... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2032-6653/14/4/88... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2076-3417/12/23/11876... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S221313882... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/full/10.1002/eem2.12386... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2403.01065... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S25901... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2310.09628... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.researchsquare.com/article/rs-3871499/v1... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.mdpi.com/books/reprint/8825-artificial-intellige... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://docs.lib.purdue.edu/jate/vol12/iss2/4/... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/7056126... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s40430-024-04736-x... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/aenm.202304295... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acs.chemmater.2c01976... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41578-024-00660-7... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ac86a8... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/12/266... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/2/41... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2077-1312/11/12/2259... (incomplete)
✓ 📝 Added: https://pubs.aip.org/aip/apl/article-abstract/124/7/073902/3... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad1294... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad2952/... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad2952/... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/full/10.1021/acsenergylett.3c02385... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41598-017-18424-5... (incomplete)
✓ 📝 Added: https://www.sandia.gov/ess/tools-resources/rd-data-repositor... (incomplete)
✓ 📝 Added: https://www.frontiersin.org/journals/energy-research/article... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acs.chemrev.2c00289... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/7/364... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/2/70... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad1450/... (incomplete)
